stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
12958,12958,MATILDA @ GOLIAD - N - NS,,32.818512,-96.767955,,,1
12959,12959,MATILDA @ VELASCO - N - NS,,32.820789,-96.767944,,,1
12960,12960,MATILDA @ VICKERY - N - NS,,32.822864,-96.76796,,,0
12961,12961,MATILDA @ VANDERBILT - N - NS,,32.824769,-96.767912,,,1
12962,12962,MATILDA @ MONTICELLO - N - NS,,32.826902,-96.767901,,,0
12963,12963,MATILDA @ MCCOMMAS - N - NS,,32.829773,-96.767914,,,0
12964,12964,MATILDA @ PENROSE - N - NS,,32.832149,-96.767899,,,1
12965,12965,MATILDA @ ANITA - N - FS,,32.834816,-96.767879,,,1
12967,12967,GREENVILLE @ SOUTHWESTERN - N - MB1,,32.852885,-96.769372,,,1
12971,12971,WALNUT HILL @ RAMBLER - W - NS,,32.883402,-96.762193,,,1
12983,12983,GREENVILLE @ UNIVERSITY - N - NS,,32.845298,-96.769982,,,0
12985,12985,GREENVILLE @ UNIVERSITY - S - NS,,32.845829,-96.77018,,,1
12986,12986,GREENVILLE @ SOUTHWESTERN - N - NS,,32.85691,-96.768501,,,1
12999,12999,COLONIAL @ MARBURG - N - NS,,32.750034,-96.763878,,,0
13003,13003,COLONIAL @ COOPER - N - NS,,32.75748,-96.77166,,,0
13005,13005,COOPER @ HARWOOD - N - NS,,32.75896,-96.770119,,,0
13006,13006,HARWOOD @ WARREN - N - NS,,32.760625,-96.771759,,,0
13008,13008,COLONIAL @ PENNSYLVANIA - N - FS,,32.760609,-96.775023,,,1
13009,13009,COLONIAL @ MLK - N - NS,,32.761795,-96.776425,,,1
13010,13010,ERVAY @ SOUTH - N - NS,,32.762334,-96.777547,,,0
13011,13011,ERVAY @ AL LIPSCOMB WAY - N - NS,,32.764202,-96.780159,,,1
13012,13012,ERVAY @ SANGER - N - FS,,32.765266,-96.781243,,,1
13015,13015,ERVAY @ BEAUMONT - N - FS,,32.770381,-96.787667,,,0
13020,13020,ERVAY @ MARILLA - N - NS,,32.776847,-96.795754,,,1
13021,13021,ERVAY @ YOUNG - N - NS,,32.777801,-96.796135,,,1
13023,13023,ST PAUL @ CADIZ - S - NS,,32.776363,-96.793374,,,1
13024,13024,ST PAUL @ ST LOUIS - S - MB,,32.775379,-96.792199,,,1
13028,13028,ERVAY @ BEAUMONT - S - NS,,32.770229,-96.787598,,,0
13032,13032,ERVAY @ SANGER - S - NS,,32.765035,-96.78112,,,0
13033,13033,ERVAY @ AL LIPSCOMB WAY - S - FS,,32.763969,-96.780068,,,1
13035,13035,COLONIAL @ MLK - S - NS,,32.762065,-96.77697,,,1
13036,13036,COLONIAL @ PENNSYLVANIA - S - MB,,32.760925,-96.775544,,,1
13037,13037,PENNSYLVANIA @ HARWOOD - E - NS,,32.761684,-96.773331,,,0
13039,13039,HARWOOD @ COOPER - S - NS,,32.759254,-96.770256,,,0
13041,13041,COOPER @ COLONIAL - S - NS,,32.757724,-96.771744,,,0
13045,13045,COLONIAL @ MARBURG - S - NS,,32.750145,-96.764153,,,0
13056,13056,ABRAMS @ RICHMOND - S - MB,,32.816673,-96.75298,,,1
13060,13060,ABRAMS @ WORTH - S - NS,,32.809921,-96.752945,,,1
13062,13062,ABRAMS @ GASTON - N - FS,,32.81475,-96.752442,,,1
13064,13064,ABRAMS @ BEACON - S - NS,,32.801529,-96.75631,,,1
13065,13065,COLUMBIA @ ORIENT - S - NS,,32.799438,-96.758538,,,0
13066,13066,COLUMBIA @ MUNGER - S - NS,,32.797695,-96.760697,,,1
13068,13068,COLUMBIA @ FITZHUGH - S - NS,,32.795299,-96.763596,,,1
13069,13069,COLUMBIA @ PRAIRIE - S - NS,,32.794499,-96.764703,,,0
13070,13070,COLUMBIA @ COLSON - S - NS,,32.792941,-96.76648,,,1
13071,13071,COLUMBIA @ CARROLL - S - FS,,32.79164,-96.767742,,,1
13072,13072,MAIN @ PEAK - S - FS,,32.789485,-96.76973,,,1
13073,13073,MAIN @ HASKELL - S - NS,,32.788738,-96.770615,,,0
13075,13075,ELM @ HALL - W - NS,,32.785653,-96.778968,,,1
13076,13076,ELM @ MALCOLM X - W - NS,,32.784973,-96.782332,,,1
13077,13077,ELM @ GOOD-LATIMER - W - FS,,32.78402,-96.787007,,,0
13082,13082,MAIN @ HASKELL - N - NS,,32.788349,-96.77089,,,1
13083,13083,MAIN @ PEAK - N - NS,,32.789848,-96.76902,,,1
13084,13084,MAIN @ CARROLL - N - NS,,32.791404,-96.767525,,,1
13085,13085,COLUMBIA @ COLSON - N - NS,,32.792465,-96.766762,,,0
13086,13086,COLUMBIA @ PRAIRIE - N - NS,,32.794143,-96.764725,,,1
13087,13087,COLUMBIA @ FITZHUGH - N - NS,,32.794929,-96.763671,,,1
13089,13089,COLUMBIA @ MUNGER - N - NS,,32.796787,-96.761498,,,1
13090,13090,COLUMBIA @ ST MARY - N - NS,,32.79758,-96.760506,,,0
13091,13091,COLUMBIA @ ORIENT - N - NS,,32.799163,-96.758515,,,0
13093,13093,ABRAMS @ FULTON - N - NS,,32.801884,-96.755819,,,1
13094,13094,ABRAMS @ VICTOR - N - FS,,32.805174,-96.755432,,,0
13095,13095,ABRAMS @ GLASGOW - N - NS,,32.807415,-96.753861,,,1
13097,13097,ABRAMS @ WORTH - N - NS,,32.809833,-96.752747,,,1
13098,13098,ABRAMS @ LA VISTA - N - NS,,32.812564,-96.751587,,,1
13099,13099,ABRAMS @ RICHMOND - N - NS,,32.815975,-96.752861,,,1
13100,13100,ADAMS @ GRIFFITH - S - NS,,32.735206,-96.830796,,,0
13101,13101,LLEWELLYN @ BROOKLYN - N - FS,,32.739395,-96.832131,,,1
13102,13102,LLEWELLYN @ 12TH - N - NS,,32.741005,-96.832131,,,0
13103,13103,LLEWELLYN @ JEFFERSON - N - NS,,32.74295,-96.832055,,,1
13104,13104,LLEWELLYN @ 10TH - N - FS,,32.745406,-96.83209,,,0
13105,13105,LLEWELLYN @ DAVIS - N - NS,,32.749351,-96.831658,,,0
13118,13118,MARKET @ JACKSON - N - FS,,32.778015,-96.805642,,,1
13132,13132,LLEWELLYN @ 7TH - S - NS,,32.749027,-96.831925,,,1
13133,13133,LLEWELLYN @ MELBA - S - NS,,32.747333,-96.832146,,,0
13134,13134,LLEWELLYN @ JEFFERSON - S - NS,,32.743366,-96.832177,,,1
13135,13135,LLEWELLYN @ 12TH - S - NS,,32.74142,-96.832177,,,0
13136,13136,LLEWELLYN @ BROOKLYN - S - NS,,32.739334,-96.832161,,,0
13137,13137,ADAMS @ YARMOUTH - S - FS,,32.736538,-96.830811,,,0
13138,13138,VERNON @ ILLINOIS - S - FS,,32.720026,-96.836931,,,0
13139,13139,VERNON @ LUDLOW - N - NS,,32.723522,-96.836708,,,0
13140,13140,VERNON @ FERNDALE - N - NS,,32.725996,-96.836678,,,0
13141,13141,VERNON @ PIONEER - N - FS,,32.728198,-96.836747,,,0
13142,13142,VERNON @ MONSSEN - N - NS,,32.730297,-96.836731,,,0
13145,13145,TYLER @ CLARENDON - N - NS,,32.73513,-96.837494,,,0
13147,13147,TYLER @ PEMBROKE - N - NS,,32.738208,-96.837502,,,0
13148,13148,TYLER @ PAGE - N - NS,,32.740074,-96.837555,,,0
13149,13149,TYLER @ 12TH - N - NS,,32.740939,-96.837592,,,0
